epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.1591,1.53823,3.61756,1.94182,0.00434,1,0.22886,0.09044,1.14684,4.19472,1.54903,0.00024293,0.00024293,0.00024293
2,122.975,1.35196,3.04087,1.66943,0.01382,0.96296,0.39313,0.1788,1.16277,4.15208,1.56202,0.000483645,0.000483645,0.000483645
3,183.12,1.41549,2.83801,1.73379,0.00522,1,0.41643,0.21248,1.2704,3.94778,1.64127,0.000707384,0.000707384,0.000707384
4,243.563,1.40737,2.53573,1.64207,0.7548,0.31877,0.68455,0.45533,1.00093,3.45958,1.37872,0.000914146,0.000914146,0.000914146
5,302.523,1.47144,2.39926,1.6956,0.41091,0.436,0.31965,0.18057,1.41536,4.55724,1.77163,0.00110393,0.00110393,0.00110393
6,362.276,1.4382,2.25186,1.62615,0.41517,0.67299,0.75049,0.49396,1.09055,3.42661,1.50862,0.00119322,0.00119322,0.00119322
7,423.032,1.40227,2.20803,1.61297,0.71908,0.84668,0.88857,0.53326,1.22932,2.60534,1.62846,0.00114606,0.00114606,0.00114606
8,483.743,1.38554,1.9959,1.58204,0.82842,0.72474,0.89092,0.54231,1.21895,2.6928,1.5749,0.0010989,0.0010989,0.0010989
9,544.309,1.35763,1.88734,1.55414,0.74543,0.88889,0.90243,0.60407,1.17145,2.74618,1.50714,0.00105174,0.00105174,0.00105174
10,605.157,1.3857,1.86968,1.57498,0.79173,0.9348,0.91919,0.65866,1.09093,1.83628,1.40713,0.00100459,0.00100459,0.00100459
11,665.77,1.30549,1.76025,1.51095,0.85054,0.82168,0.89869,0.643,1.03516,1.98757,1.37869,0.00095743,0.00095743,0.00095743
12,726.469,1.32164,1.71519,1.4999,0.81549,0.8398,0.85318,0.61825,1.11992,1.98979,1.40635,0.000910273,0.000910273,0.000910273
13,787.099,1.22481,1.57426,1.43887,0.94409,0.81648,0.94669,0.65712,1.1581,1.71373,1.4149,0.000863116,0.000863116,0.000863116
14,847.803,1.27855,1.56294,1.48213,0.95675,0.70427,0.91753,0.60766,1.11228,1.72328,1.44171,0.000815959,0.000815959,0.000815959
15,908.224,1.23188,1.43321,1.42748,0.747,0.93704,0.88622,0.60442,1.03984,1.52799,1.35801,0.000768802,0.000768802,0.000768802
16,968.857,1.21372,1.39668,1.41383,0.91458,0.95835,0.995,0.67117,1.21898,1.4006,1.45038,0.000721645,0.000721645,0.000721645
17,1029.31,1.13825,1.31173,1.3513,0.98919,0.94084,0.9819,0.69804,1.0444,1.30581,1.41087,0.000674488,0.000674488,0.000674488
18,1089.81,1.2343,1.31905,1.39867,0.96619,0.93717,0.98833,0.7175,1.04135,1.35246,1.41657,0.000627331,0.000627331,0.000627331
19,1150.35,1.17898,1.2954,1.38745,0.89864,0.78458,0.95908,0.65897,1.1016,1.48156,1.42187,0.000580174,0.000580174,0.000580174
20,1210.99,1.12586,1.26893,1.34296,0.98124,0.93773,0.99133,0.76262,0.96043,1.09926,1.30922,0.000533017,0.000533017,0.000533017
21,1270.86,1.02474,1.23872,1.41256,0.99087,1,0.995,0.60071,1.31548,1.24172,1.5967,0.00048586,0.00048586,0.00048586
22,1330.5,0.9597,1.13276,1.33286,0.99176,0.98136,0.995,0.75462,0.95737,1.05985,1.23046,0.000438703,0.000438703,0.000438703
23,1390.05,0.94027,1.07629,1.34673,0.99085,1,0.995,0.78654,0.88429,0.97845,1.22228,0.000391546,0.000391546,0.000391546
24,1449.71,0.84744,0.96315,1.27501,0.9783,0.99449,0.995,0.78238,0.87959,0.9705,1.21857,0.000344389,0.000344389,0.000344389
25,1509.18,0.86017,0.93612,1.26799,0.98356,0.99963,0.995,0.78931,0.87365,0.93824,1.27936,0.000297232,0.000297232,0.000297232
26,1568.97,0.84294,0.88876,1.25,0.99009,0.96763,0.995,0.791,0.89037,0.93917,1.25227,0.000250075,0.000250075,0.000250075
27,1629.06,0.82978,0.88942,1.25684,0.9679,0.98423,0.995,0.80584,0.8457,0.93772,1.23022,0.000202918,0.000202918,0.000202918
28,1688.88,0.7714,0.8502,1.20544,0.96054,0.98381,0.995,0.79891,0.8328,0.9077,1.22789,0.000155761,0.000155761,0.000155761
29,1748.78,0.75134,0.82035,1.18815,0.97299,0.99155,0.995,0.80349,0.85146,0.85924,1.24509,0.000108604,0.000108604,0.000108604
30,1808.85,0.73049,0.83123,1.18186,0.96955,0.99628,0.995,0.80783,0.86319,0.85544,1.25624,6.1447e-05,6.1447e-05,6.1447e-05
